Name,RA,Dec,dist,B_Mag,J_Mag,K_Mag,Type,Av,Num_HST
UGC06728,176.316696,79.681503,32.82803941,14.383,11.791,10.793,G,0.06,5.00E+00
NGC5448,210.708633,49.172646,32.90172862,11.88,9.848,8.924,G,0.168,1.00E+00
ESO556-015,95.273178,-20.048424,32.96241531,11.95,9.965,8.978,G,0.078,4.00E+00
NGC3045,148.323608,-18.64509,33.06211777,13.378,11.521,10.624,G,0.138,1.00E+00
NGC2633,132.019363,74.098793,33.15748869,12.745,10.133,9.06,G,0.059,3.00E+00
NGC4567,189.136261,11.25787,33.17916436,11.93,9.367,8.481,G,0.299,1.00E+00
NGC4233,184.282043,7.624434,33.18783467,12.873,9.79,8.866,G,0.158,2.00E+00
NGC0474,20.027901,3.41527,33.23118665,12.156,9.75,8.815,G,0.408,5.00E+00
NGC4168,183.071808,13.205354,33.28320992,11.927,9.493,8.564,G,0.107,7.00E+00
NGC2377,111.236732,-9.659352,33.51299104,12.21,10.223,9.123,G,0.278,1.00E+00
NGC2481,119.307182,23.767693,33.6127133,13.325,10.181,9.214,G,0.227,1.00E+00
NGC4522,188.415237,9.174873,33.61704913,12.3,10.901,9.935,G,0.416,1.10E+01
NGC5903,229.652206,-24.068594,33.68642337,11.848,9.153,8.225,G,0.208,1.00E+00
NGC3583,168.545746,48.318378,33.79048797,11.845,9.531,8.534,G,0.386,2.20E+01
NGC5347,208.324387,33.490761,33.90756531,13.442,10.788,9.82,G,0.061,6.00E+00
NGC4270,184.955978,5.463371,33.90756531,13.1,10.04,9.128,G,0.421,1.00E+00
NGC4200,183.684158,12.180664,34.02898407,13.507,11.353,10.47,G,0.108,1.00E+00
IC1291,278.469055,49.278572,34.30219571,13.3,13.699,13.073,G,0.049,1.00E+00
NGC2986,146.066849,-21.27829,34.30653262,11.665,8.714,7.775,G,0.057,1.00E+00
NGC2992,146.425186,-14.32636,34.34990209,12.774,9.829,8.706,G,0.052,1.00E+00
NGC4235,184.291306,7.191658,34.54073581,11.98,9.448,8.5,G,0.164,2.00E+00
IC3586,189.228577,12.520137,34.59278365,14.702,13.309,12.508,G,0.2,1.70E+01
NGC4250,184.359589,70.802612,34.6491699,13.509,10.197,9.267,G,0.096,1.00E+00
NGC2634,132.105972,73.967117,34.6491699,13.002,10.287,9.361,G,0.067,1.00E+00
NGC4254,184.706772,14.41649,34.66218228,10.29,8.06,7.111,G,0.199,3.00E+00
UGC00477,11.554826,19.489901,34.70121977,13.6,13.236,12.277,G,0.059,4.00E+00
NGC5308,206.751633,60.973038,34.76194586,12.19,9.34,8.412,G,0.031,9.00E+00
NGC4067,181.048157,10.854354,34.77495876,13.064,10.881,10.002,G,0.073,1.00E+00
NGC5353,208.36142,40.283123,34.81399784,12.05,8.594,7.654,G,0.026,6.00E+00
NGC3595,168.856461,47.447147,34.91376687,12.949,10.431,9.526,G,0.367,1.00E+00
NGC4158,182.792358,20.17577,34.97015965,12.807,10.812,9.871,G,0.104,1.00E+00
NGC5376,208.81694,59.506702,35.02221554,12.512,10.151,9.226,G,0.049,1.00E+00
NGC5018,198.254166,-19.518297,35.03956772,11.465,8.731,7.776,G,0.28,7.00E+00
NGC5757,221.943207,-19.078545,35.21743381,12.196,9.97,9.022,G,0.174,1.00E+00
NGC4593,189.914551,-5.34421,35.29986343,12.304,9.19,8.177,G,0.077,2.30E+01
IC3735,191.3349,13.692705,35.3606026,14.489,12.835,11.936,G,0.162,7.00E+00
NGC2551,126.209557,73.412003,35.40398854,12.98,10.389,9.457,G,0.292,9.00E+00
NGC1015,39.548187,-1.318618,35.43869778,13.415,10.552,9.62,G,0.347,8.80E+01
NGC2891,141.735962,-24.783026,35.48208494,12.979,10.569,9.653,G,0.137,2.00E+00
NGC1530,65.862923,75.29557,35.84656382,11.5,9.458,8.445,G,0.144,1.00E+00
NGC2735,135.66098,25.934587,35.90297554,13.926,10.917,9.855,G,0.111,4.00E+00
NGC3081,149.873047,-22.826199,36.15901235,12.451,10.006,9.057,G,0.105,1.50E+01
NGC5633,216.868271,46.146549,36.18071147,12.51,10.605,9.66,G,0.321,1.00E+00
IC0779,184.911469,29.883118,36.33261004,14.464,13.114,12.225,G,0.099,5.00E+00
NGC4289,185.259598,3.72196,36.52358002,13.62,11.289,10.07,G,0.351,1.00E+00
NGC3054,148.619186,-25.703436,36.54528199,11.685,9.436,8.532,G,0.086,1.00E+00
NGC2196,93.040138,-21.805908,36.82308209,11.799,9.194,8.249,G,0.167,1.00E+00
NGC4276,185.031235,7.691995,36.83176379,13.419,12.056,11.16,G,0.216,1.00E+00
NGC2110,88.047516,-7.456174,36.96199254,11.54,9.338,8.208,G,0.465,3.00E+00
NGC4191,183.459915,7.200842,37.0184269,13.43,10.861,9.99,G,0.144,4.00E+00
NGC5326,207.711304,39.574913,37.14866439,12.912,9.9,8.964,G,0.044,2.00E+00
NGC5173,202.105301,46.591572,37.25720029,13.589,11.021,10.143,G,0.025,1.00E+00
UGC09660,225.289505,44.698196,37.30929903,14.07,12.86,12.058,G,0.042,4.00E+00
ESO498-005,141.169464,-25.092716,37.31364064,13.404,11.729,10.799,G,0.143,1.00E+01
NGC1032,39.848667,1.093801,37.35705706,12.13,9.442,8.455,G,0.22,2.00E+00
NGC4690,191.981323,-1.655975,37.71743955,13.434,11.137,10.285,G,0.096,4.00E+00
UGC06062,164.656662,9.050468,37.76520459,14.001,11.17,10.237,G,0.23,1.00E+00
IC3540,188.863495,12.75041,37.86942206,14.314,12.346,11.468,G,0.307,2.00E+00
NGC2782,138.521332,40.1138,37.94758772,12.244,9.945,8.999,G,0.171,5.00E+00
NGC4671,191.448486,-7.069751,38.38622464,13.066,10.303,9.396,G,0.084,2.00E+00
NGC5198,202.547546,46.67083,38.61642808,12.633,9.917,8.991,G,0.042,1.00E+00
NGC5899,228.76355,42.049854,38.6859272,12.306,9.662,8.666,G,0.055,1.00E+00
NGC4194,183.539886,54.526676,38.76845965,13.563,10.765,9.701,G,0.045,1.10E+01
NGC6703,281.828522,45.550648,38.83361858,12.373,9.258,8.317,G,0.085,2.00E+00
NGC4128,182.134827,68.767632,39.08558077,13.02,9.763,8.814,G,0.062,3.00E+00
IC3032,182.782349,14.275048,39.16378056,14.708,13.361,12.544,G,0.055,1.90E+01
NGC4993,197.448776,-23.383831,39.35494484,13.16,10.292,9.33,G,0.082,4.90E+01
NGC4384,186.300049,54.50613,39.49832666,13.476,11.697,10.719,G,0.112,1.00E+00
NGC2865,140.875854,-23.161491,39.64171585,12.037,9.457,8.551,G,0.207,8.00E+00
NGC1289,49.707592,-1.973354,39.64606109,13.087,10.576,9.632,G,0.073,4.00E+00
NGC5630,216.90242,41.257816,39.70689519,12.9,12.006,11.203,G,0.16,4.00E+00
NGC5796,224.850479,-16.624043,39.82422184,12.353,9.231,8.234,G,0.183,1.00E+00
NGC1321,51.202389,-3.015633,39.90244235,13.827,10.944,10.117,G,0.175,2.00E+00
