,PGC,GWGC_name,HyperLEDA_name,2MASS_name,SDSS-DR12_name,Type,RA,Dec,dist,dist_err,z,B_mag,B_err,B_Abs,J_mag,J_err,H_mag,H_err,K_mag,K_err,flag2,flag3,Av,SkyCoord,HST,used
738,34556.0,UGC06320,UGC06320,11181723+1850490,,G,169.571823,18.846945,19.2206594738,,0.005864882932439999,13.6,0.3,-17.8188,12.206,0.033,11.627,0.051,11.378,0.071,3,1,0.06,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (169.571823, 18.846945)>",0.0,False
739,46360.0,NGC5066,NGC5066,13182846-1014021,,G,199.61859099999998,-10.23393,36.5886864223,,0.012125,14.015,,-18.8017,12.203,0.038,11.532,0.051,11.386,0.09300000000000001,3,1,0.121,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (199.618591, -10.23393)>",0.0,False
740,28324.0,NGC3024,NGC3024,09502739+1245562,,G,147.614136,12.765622,23.243543052,,0.011913,13.76,,-18.0715,12.308,0.034,11.623,0.052000000000000005,11.385,0.068,3,1,0.091,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (147.614136, 12.765622)>",0.0,False
741,25427.0,UGC04714,UGC04714,09031527+7833464,,G,135.81364399999998,78.562904,21.628500599899997,,0.00468804234402,14.21,0.99,-17.4651,12.350999999999999,0.038,11.744000000000002,0.06,11.385,0.075,3,1,0.065,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (135.813644, 78.562904)>",0.0,False
742,46477.0,NGC5089,NGC5089,13193929+3015227,,G,199.91374199999998,30.256323,31.4716414004,,0.015347,13.759,,-18.7306,12.220999999999998,0.026000000000000002,11.604000000000001,0.032,11.382,0.059000000000000004,3,1,0.033,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (199.913742, 30.256323)>",0.0,False
743,52827.0,ESO580-030,ESO580-030,14473543-1804137,,G,221.89765899999998,-18.070494,35.7944924826,,0.008511,13.198,,-19.5711,12.179,0.044000000000000004,11.622,0.068,11.413,0.11,3,1,0.227,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (221.897659, -18.070494)>",0.0,False
744,71720.0,NGC7693,NGC7693,23331048-0117312,,G,353.293671,-1.29201,38.2298708807,,0.008706,14.294,,-18.618,12.196,0.03,11.542,0.042,11.399000000000001,0.068,3,1,0.095,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (353.293671, -1.29201)>",0.0,False
745,55305.0,NGC5950,NGC5950,15313082+4025485,,G,232.878433,40.430145,39.3028078296,,0.016969,13.79,,-19.1821,12.26,0.027999999999999997,11.669,0.042,11.399000000000001,0.071,3,1,0.073,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (232.878433, 40.430145)>",0.0,False
746,8319.0,PGC008319,PGC008319,02103760-1546250,,G,32.6567,-15.773617000000002,26.415934642600003,,0.0153,14.192,,-17.9173,12.294,0.027999999999999997,11.613,0.04,11.402000000000001,0.059000000000000004,3,1,0.077,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (32.6567, -15.773617)>",0.0,False
747,10080.0,UGC02143,UGC02143,02393656+3604524,,G,39.902344,36.081223,33.1401482792,,0.00853293426647,14.12,0.59,-18.4818,12.183,0.03,11.577,0.042,11.41,0.076,3,1,0.136,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (39.902344, 36.081223)>",0.0,False
748,39860.0,NGC4287,NGC4287,12204845+0538229,,G,185.201889,5.639705,31.831260486999998,,0.034414,14.834000000000001,,-17.6803,12.422,0.052000000000000005,11.716,0.06,11.402999999999999,0.10400000000000001,3,1,0.052,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (185.201889, 5.639705)>",0.0,False
749,43975.0,UGC08052,UGC08052,12545299+7310423,,G,193.72079499999998,73.17842900000001,27.255025506,,0.00662613331307,13.36,0.35,-18.8172,12.311,0.038,11.637,0.051,11.405,0.078,3,1,0.053,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (193.720795, 73.178429)>",0.0,False
750,6228.0,PGC006228,PGC006228,01410710-0534051,,G,25.279623,-5.568107,24.6953008138,,0.00443688221844,13.08,0.35,-18.8831,12.276,0.039,11.669,0.062,11.412,0.09300000000000001,3,1,0.092,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (25.279623, -5.568107)>",0.0,False
751,43950.0,NGC4791,NGC4791,12544393+0803113,,G,193.683075,8.053164,35.4430364648,,0.00832146416073,15.1,0.47,-17.6477,12.269,0.032,11.664000000000001,0.048,11.415999999999999,0.075,3,1,0.09,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (193.683075, 8.053164)>",0.0,False
752,14673.0,PGC014673,PGC014673,04130294+7500215,,G,63.262287,75.005997,26.377013949499997,,0.009618000000000002,13.84,,-18.2661,12.345,0.036000000000000004,11.714,0.055,11.469000000000001,0.073,3,1,0.481,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (63.262287, 75.005997)>",0.0,False
753,83855.0,PGC083855,PGC083855,13151054-1614191,,G,198.793945,-16.238646,34.8920776475,,0.007871,14.82,,-17.8936,12.292,0.031,11.652000000000001,0.038,11.447000000000001,0.087,3,1,0.186,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (198.793945, -16.238646)>",0.0,False
754,40317.0,IC3267,IC3267,12240554+0702288,,G,186.023087,7.041358,17.120922986300002,,0.017591,14.657,,-16.5106,12.321,0.065,11.625,0.08199999999999999,11.432,0.141,3,1,0.062,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (186.023087, 7.041358)>",0.0,False
755,16289.0,UGC03199,UGC03199,04541659+0140023,,G,73.56916,1.6673209999999998,28.6656195867,,0.040702999999999996,15.117,,-17.1698,12.485,0.037000000000000005,11.725999999999999,0.042,11.452,0.062,3,1,0.207,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (73.56916, 1.667321)>",0.0,False
