,Dec,Galaxies,RA
291,-14.754353,['NGC1076'],40.871902
292,30.119106,['UGC04559'],131.031708
293,45.748291,['NGC3614'],169.58914199999995
294,48.36692,['NGC6155'],246.534607
295,-19.725798,['ESO555-002'],87.611267
296,-1.7340400000000002,['NGC1121'],42.663387
297,-18.587984,['ESO576-030'],199.746246
298,40.5644,['UGC09858'],231.672836
299,37.191048,['IC2461'],139.99179099999998
300,-24.681089,['ESO494-042'],124.362106
301,9.70992,['NGC4779'],193.461929
302,-17.078726,['PGC045955'],198.384369
303,14.574936,['NGC4516'],188.281509
304,19.427031,['NGC4336'],185.874298
305,-21.125214,['ESO595-014'],301.905304
306,50.15674600000001,['NGC3922'],177.806107
307,10.28373,['NGC2919'],143.69812
308,41.313534,['NGC5362'],208.722076
309,76.804001,['NGC4127'],182.109879
310,-10.740404,['PGC053093'],223.043213
311,36.28212,['NGC5014'],197.87999
312,-12.153349,['NGC1338'],52.22731
313,-25.136124,['PGC027148'],143.396454
314,85.608017,['UGC04297'],127.120377
315,10.510788,['NGC5666'],218.288239
316,7.824057000000002,['NGC4470'],187.407501
317,3.034532,['NGC4544'],188.902527
318,-20.166956,['ESO545-040'],39.548759
319,40.163879,['NGC2852'],140.810684
320,43.145546,['IC0598'],153.202423
321,-11.816627,['NGC7378'],341.9487299999999
322,58.978024,['UGC06732'],176.388229
323,-0.268221,['IC0560'],146.472656
324,-11.207893,['NGC3361'],161.121567
325,47.397964,['NGC3320'],159.902176
326,8.383724,['NGC4598'],190.049774
327,19.612354,['NGC5492'],212.646622
328,40.765694,['IC0292'],47.553875
329,9.049169,['NGC0502'],20.731415
330,27.620890000000006,['NGC4275'],184.969177
331,-22.80444,['ESO513-030'],228.78669700000003
332,28.468929,['NGC3400'],162.68958999999995
333,38.304531,['NGC5303'],206.937347
334,47.995247,['UGC00622'],15.117172
335,34.370651,['UGC09519'],221.588028
336,-18.742655,['ESO541-004'],14.741685
337,-17.254513,['IC0863'],199.301636
338,28.599733,['NGC0865'],34.062954
339,56.221664,['NGC3499'],165.79628
340,-19.97691,['ESO576-011'],198.271286
341,-3.867104,['PGC016060'],72.143387
342,13.307071,['NGC4222'],184.093842
343,-15.405128,['PGC052002'],218.289978
344,-9.633777,['PGC044358'],194.445114
345,-17.152529,['NGC1163'],45.092037
346,-20.567331,['NGC3956'],178.502869
347,-9.497907,['PGC043151'],191.832687
348,-24.632593,['NGC7167'],330.127655
349,-14.252922,['PGC007045'],28.513071000000004
350,58.75838100000001,['UGC06604'],174.535492
351,18.954695,['NGC0770'],29.80685
352,50.347916,['NGC6759'],286.737793
353,45.973179,['UGC08876'],209.241943
354,77.505074,['UGC07086'],181.483826
355,79.872498,['IC0467'],112.576668
356,6.012214,['NGC4591'],189.801834
357,73.764977,['NGC3252'],158.59626799999995
358,29.539986,['NGC2893'],142.570618
359,-4.151604,['PGC054944'],230.833893
360,19.59729,['NGC6149'],246.851151
361,-21.899916,['ESO576-031'],199.946899
362,1.668322,['UGC05228'],146.515213
363,-0.561301,['NGC4653'],190.962173
364,25.423820000000006,['UGC02082'],39.067299
365,9.27164,['NGC3049'],148.706879
366,66.332649,['NGC4513'],188.006058
367,15.007294,['NGC5951'],233.429459
368,-12.35001,['PGC017030'],79.192596
369,-18.931526,['ESO548-068'],55.079872
370,-17.192905,['NGC1519'],62.031631
371,12.942963,['NGC4620'],190.497192
372,-8.084985000000001,['NGC4928'],195.752335
373,27.239655,['UGC06023'],163.58691399999995
374,42.541439,['UGC08756'],207.649658
375,-3.212962,['PGC009485'],37.381905
376,1.81332,['NGC3365'],161.552704
377,-8.655461,['NGC4674'],191.514465
378,7.994538,['UGC10743'],257.878113
379,2.90655,['PGC058114'],246.517838
380,-7.090766,['PGC012633'],50.572918
381,-5.499255000000002,['PGC012130'],49.002201
382,17.818575,['NGC3659'],170.939575
383,27.227589,['IC2520'],149.084
384,-14.608862,['IC4221'],199.62645
385,-17.563854,['PGC024870'],132.77926599999998
386,-1.161677,['IC0976'],212.180267
387,25.878935,['NGC2594'],126.821609
388,-5.009176999999998,['PGC042549'],190.316513
389,-15.46367,['NGC5892'],228.450882
390,11.583811,['UGC00260'],6.762131
391,16.404726,['IC0796'],187.359802
392,78.862305,['UGC04263'],123.867516
393,48.333958,['NGC3985'],179.175446
394,17.286856,['UGC03820'],110.583595
395,21.657185,['UGC06176'],166.852753
396,-9.388893,['PGC016875'],77.78290600000003
397,14.049165,['NGC4468'],187.378693
398,8.435681,['NGC4415'],186.66861
399,4.9802230000000005,['NGC2644'],130.382904
400,49.96072,['IC0902'],204.005051
401,35.076431,['UGC04621'],132.549164
402,35.413857,['NGC3694'],172.225571
403,48.234882,['NGC0048'],3.509228
404,74.01230600000002,['NGC2550'],126.140167
405,-6.579256,['NGC7406'],343.484344
406,59.742825,['NGC5379'],208.893112
407,13.237139,['UGC08032'],193.684158
408,2.657433,['NGC4587'],189.64769
409,57.23016,['NGC3530'],167.16841100000005
410,0.408305,['UGC03258'],77.67920699999998
411,-17.512102,['PGC047289'],202.196075
412,63.782757,['NGC4205'],183.731598
413,7.902528999999999,['IC0540'],142.542755
414,28.655119,['NGC5958'],233.704681
415,-5.80321,['NGC1681'],72.958572
416,72.35623199999998,['UGC03343'],86.352631
417,-14.789418,['PGC016894'],77.92031899999998
418,2.004803,['NGC5841'],226.64607200000003
419,8.301766,['NGC2731'],135.534973
420,-6.094169,['PGC005341'],21.560081
421,3.4102330000000003,['NGC5692'],219.575623
422,-6.092015,['NGC5476'],212.035309
423,19.651682,['NGC3213'],155.322128
424,41.931976,['UGC02688'],50.332882
425,10.720738,['NGC3547'],167.483124
426,32.636097,['UGC06545'],173.430939
427,74.62755600000001,['NGC3752'],173.134155
428,17.344051,['NGC3454'],163.622742
429,-1.706808,['UGC08067'],194.30069
430,12.782273,['UGC12300'],345.154968
431,35.588268,['NGC5240'],203.980103
432,28.088715000000004,['IC4582'],236.414215
433,-24.785641,['ESO495-006'],124.851059
434,-7.543625,['NGC3481'],164.859009
435,-24.833147,['ESO510-058'],211.155746
436,17.16367,['NGC3239'],156.27027900000004
437,6.115316,['NGC4543'],188.834503
438,-20.823229,['NGC0899'],35.471397
439,20.073902,['NGC4032'],180.13673400000005
440,58.841869,['UGC04549'],131.08943200000002
441,77.816643,['UGC04151'],121.077774
442,71.773033,['UGC05955'],163.017471
443,69.413094,['NGC3654'],171.044693
444,17.441553,['IC1151'],239.634705
445,30.074205,['NGC4308'],185.486969
446,-11.926702,['IC0217'],34.043484
447,1.707832,['IC1158'],240.391968
448,8.097453999999999,['UGC12074'],338.276215
449,-18.948523,['ESO548-033'],53.119244
450,16.486389000000006,['NGC0100'],6.011819999999998
451,16.920471,['NGC3691'],172.03923
452,19.863962,['PGC071531'],352.121338
453,-16.705097,['NGC7709'],353.864532
454,41.4669,['UGC02554'],47.228249
455,58.613159,['NGC3795'],175.028503
456,-2.880941,['NGC7710'],353.942261
457,70.698326,['PGC026462'],140.276672
458,-21.048029,['NGC0216'],10.362022
459,7.554821,['IC3322'],186.47551
460,79.241264,['UGC09355'],217.334961
461,14.028975,['IC3061'],183.768829
462,71.17614,['NGC4693'],191.788055
463,24.093496,['NGC3701'],172.370422
464,72.20051600000002,['UGC05415'],151.315628
465,39.706844,['IC4336'],207.680878
466,55.70644,['NGC2710'],134.951416
467,48.546066,['NGC5500'],212.56352200000003
468,11.02756,['NGC7347'],339.984009
469,41.740944,['UGC07129'],182.229538
470,13.391409,['PGC044433'],194.57811
471,-15.157026,['PGC046436'],199.823013
472,-14.779988,['PGC017978'],87.726959
473,16.294649,['PGC019750'],102.99147
474,-19.750715,['ESO545-005'],35.025428999999995
475,67.383751,['PGC038504'],181.948715
476,-16.883894,['6dFJ0829216-165302'],127.339989
477,-6.179646,['NGC3292'],158.893417
478,34.71125,['NGC3381'],162.10343899999995
479,59.469677,['NGC5667'],217.595367
480,15.178432,['UGC03691'],107.005318
481,13.110022,['NGC4584'],189.574295
482,12.787212,['NGC4306'],185.517029
483,32.766373,['NGC3413'],162.836288
484,35.335117,['UGC06570'],173.95834399999995
485,1.6040450000000002,['NGC5738'],220.984909
486,-4.155785,['NGC4720'],192.678253
487,44.554878,['UGC04982'],140.762833
488,-11.424776,['PGC017217'],80.811646
489,10.458982,['NGC4390'],186.461212
